CODE,CPV_HU,CPV_EN
03000000-1,"Növénytermesztési, állattenyésztési, halászati, erdészeti és kapcsolódó termékek","Agricultural, farming, fishing, forestry and related products"
03100000-2,Mezőgazdasági és kertészeti termékek,Agricultural and horticultural products
03110000-5,"Termény, bolgárkertészeti és kertészeti termék","Crops, products of market gardening and horticulture"
03111000-2,Vetőmag,Seeds
03111100-3,Szójabab,Soya beans
03111200-4,Földimogyoró,Peanuts
03111300-5,Napraforgómag,Sunflower seeds
03111400-6,Gyapotmag,Cotton seeds
03111500-7,Szezámmag,Sesame seeds
03111600-8,Mustármag,Mustard seeds
03111700-9,Zöldségvetőmag,Vegetable seeds
03111800-0,Gyümölcsmagvak,Fruit seeds
03111900-1,Virágmag,Flower seeds
03112000-9,Nyers dohány,Unmanufactured tobacco
03113000-6,Cukorgyártásra használt növény,Plants used for sugar manufacturing
03113100-7,Cukorrépa,Sugar beet
03113200-8,Cukornád,Sugar cane
03114000-3,Szalma és takarmány,Straw and forage
03114100-4,Szalma,Straw
03114200-5,Takarmány,Forage
03115000-0,Növényi nyersanyag,Raw vegetable materials
03115100-1,Textiliparban használt növény nyersen,Raw vegetable materials used in textile production
03115110-4,Gyapot,Cotton
03115120-7,Juta,Jute
03115130-0,"Len, kender",Flax
03116000-7,"Természetes gumi, latex és kapcsolódó termékek","Natural rubber and latex, and associated products"
03116100-8,Természetes gumi,Natural rubber
03116200-9,Gombaölő szerként és más hasonló célokra használt növények,Natural latex
03116300-0,Latextermék,Latex products
03117000-4,Meghatározott területeken használt növény,Plants used in specific fields
03117100-5,"Illatszer-, gyógyszer- és rovarirtószer-alapanyagként stb. használt növény","Plants used in perfumery or pharmacy, or for insecticidal or similar purposes"
03117110-8,Illatszergyártásban használt növény,Plants used in perfumery
03117120-1,Gyógyszergyártásban használt növény,Plants used in pharmacy
03117130-4,Rovarirtásra használt növény,Plants used for insecticidal purposes
03117140-7,,Plants used for fungicidal or similar purposes
03117200-6,Meghatározott területeken használt növényi vetőmagvak,Seeds of plants used in specific fields
03120000-8,Kertészeti és faiskolai termékek,Horticultural and nursery products
03121000-5,Kertészeti termék,Horticultural products
03121100-6,"Élő növény, gumó, gyökér, dugvány és oltvány","Live plants, bulbs, roots, cuttings and slips"
03121200-7,Vágott virág,Cut flowers
03121210-0,"Virágkötészet, virágcsokrok",Floral arrangements
03130000-1,Ital- és fűszernövények,Beverage and spice crops
03131000-8,Élvezeti növények,Beverage crops
03131100-9,Kávébab,Coffee beans
03131200-0,"Teacserje, teafű",Tea bushes
03131300-1,Matétea,Maté
03131400-2,Kakaóbab,Cocoa beans
03132000-5,"Fűszernövény, feldolgozás nélkül",Unprocessed spices
03140000-4,Állati termékek és kapcsolódó termékek,Animal products and related products
03141000-1,Szarvasmarhasperma,Bulls' semen
03142000-8,Állati termék,Animal products
03142100-9,Természetes méz,Natural honey
03142200-0,Csiga,Snails
